cutting_speed,spindle_speed,feed,feed_rate,power_pc ,cooling,material,drill_bit_type,process_time,main_failure,BEF,CCF,FWF,WDF
23.16,614,0.198,121,105.95,50,2,2,36.21,0,0,0,0,0
29.89,793,0.231,183,206.65,75,1,1,19.87,0,0,0,0,0
29.85,792,0.239,189,213.09,75,1,1,19.31,0,0,0,0,0
22.83,606,0.194,117,100.98,50,2,2,35.68,0,0,0,0,0
29.69,788,0.218,172,192.3,75,1,1,20.89,0,0,0,0,0
22.84,606,0.192,116,100.21,50,2,2,35.14,0,0,0,0,0
17.5,464,0.268,125,82.25,50,3,3,32.87,0,0,0,0,0
17.61,467,0.247,115,76.53,50,3,3,35.29,0,0,0,0,0
30.24,802,0.251,202,229.95,75,1,1,17.51,0,0,0,0,0
30.17,800,0.246,197,223.87,75,1,1,19.78,0,0,0,0,0
22.7,602,0.171,103,88.18,50,2,2,33.65,0,0,0,0,0
17.86,474,0.261,124,83.44,50,3,3,31.21,0,0,0,0,0
16.96,450,0.216,97,62.05,25,3,3,31.58,0,0,0,0,0
17.39,461,0.261,120,78.81,50,3,3,34.73,0,0,0,0,0
29.99,795,0.246,196,221.15,75,1,1,18.32,0,0,0,0,0
29.7,788,0.223,175,196.41,75,1,1,20.08,0,0,0,0,0
22.75,603,0.213,129,110.38,75,2,2,34.79,0,0,0,0,0
29.82,791,0.216,171,191.87,75,1,1,19.06,0,0,0,0,0
17.06,452,0.238,108,69.38,25,3,3,34.29,0,0,0,0,0
22.92,608,0.212,129,111.36,75,2,2,35.54,0,0,0,0,0
22.93,608,0.202,123,106.19,50,2,2,35.28,0,0,0,0,0
17.77,471,0.28,132,88.52,75,3,3,33.62,0,0,0,0,0
30.11,799,0.26,208,235.98,100,1,1,21.35,0,0,0,0,0
17.12,454,0.227,103,66.64,25,3,3,34.1,0,0,0,0,0
17.41,462,0.248,114,75.03,50,3,3,32.51,0,0,0,0,0
22.39,594,0.181,107,90.6,50,2,2,34.37,0,0,0,0,0
29.87,792,0.244,194,217.93,75,1,1,19.83,0,0,0,0,0
22.08,586,0.16,94,78.06,25,2,2,35.47,0,0,0,0,0
17.23,457,0.217,99,64.55,25,3,3,32.45,0,0,0,0,0
29.8,791,0.23,182,204.09,75,1,1,20.05,0,0,0,0,0
30.3,804,0.265,213,243.07,100,1,1,19.56,0,0,0,0,0
29.83,791,0.236,187,210.22,75,1,1,19.45,0,0,0,0,0
17.32,460,0.247,113,74.12,50,3,3,34.08,0,0,0,0,0
22.85,606,0.202,122,105.21,50,2,2,36.79,0,0,0,0,0
22.13,587,0.168,99,82.39,25,2,2,35.93,0,0,0,0,0
22.9,607,0.195,119,102.5,50,2,2,35.5,0,0,0,0,0
29.72,788,0.226,178,199.4,75,1,1,19.83,0,0,0,0,0
22.66,601,0.167,100,85.8,25,2,2,35.57,0,0,0,0,0
29.87,792,0.236,187,210.7,75,1,1,18.49,0,0,0,0,0
22.78,604,0.201,121,104.29,50,2,2,36.33,0,0,0,0,0
30.36,805,0.283,228,260.4,100,1,1,19.52,0,0,0,0,0
17.14,455,0.226,103,66.34,25,3,3,32.84,0,0,0,0,0
23,610,0.186,113,98.38,50,2,2,35.72,0,0,0,0,0
22.35,593,0.178,106,89.01,50,2,2,32.83,0,0,0,0,0
16.92,449,0.234,105,66.97,25,3,3,32.17,0,0,0,0,0
17.72,470,0.258,121,80.88,50,3,3,32.75,0,0,0,0,0
17.65,468,0.246,115,76.78,50,3,3,31.66,0,0,0,0,0
29.79,790,0.232,183,205.7,75,1,1,21.59,0,0,0,0,0
17.31,459,0.251,115,75.16,50,3,3,33.07,0,0,0,0,0
17.45,463,0.264,122,80.43,50,3,3,33.8,0,0,0,0,0
29.64,786,0.218,171,191.4,75,1,1,19.22,0,0,0,0,0
23.02,611,0.209,127,110.63,75,2,2,34.78,0,0,0,0,0
30.07,798,0.247,197,223.4,75,1,1,20.39,0,0,0,0,0
30.42,807,0.29,234,268.74,100,1,1,18.69,0,0,0,0,0
17.03,452,0.234,106,67.87,25,3,3,35.03,0,0,0,0,0
17.78,472,0.278,131,87.78,75,3,3,33.56,0,0,0,0,0
21.8,578,0.127,94,60.25,0,2,2,35.22,1,1,0,0,0
22.46,596,0.17,101,85.55,25,2,2,35.2,0,0,0,0,0
17.78,472,0.296,139,93.48,75,3,3,34.51,0,0,0,0,0
30.13,799,0.261,209,237.21,100,1,1,18.79,0,0,0,0,0
30.36,805,0.258,208,237.8,100,1,1,18.26,0,0,0,0,0
22.39,594,0.17,101,85.29,25,2,2,33.68,0,0,0,0,0
17.56,466,0.248,115,76.44,50,3,3,31.92,0,0,0,0,0
17.64,468,0.263,123,81.71,50,3,3,34.07,0,0,0,0,0
22.42,595,0.181,108,91.2,50,2,2,33.51,0,0,0,0,0
17.43,462,0.25,116,76.04,50,3,3,33.04,0,0,0,0,0
22.5,597,0.171,102,86.45,25,2,2,33.94,0,0,0,0,0
30.29,803,0.24,193,220.31,75,1,1,19.49,0,0,0,0,0
22.46,596,0.151,117,75.9,25,2,1,34.32,1,0,1,0,1
17.69,469,0.253,119,79.04,50,3,3,32.31,0,0,0,0,0
22.35,593,0.155,92,77.58,25,2,2,34.26,0,0,0,0,0
17.71,470,0.269,126,84.34,50,3,3,32.84,0,0,0,0,0
22.53,598,0.17,101,86.04,25,2,2,32.9,0,0,0,0,0
17.65,468,0.25,117,78.05,50,3,3,33.13,0,0,0,0,0
29.79,790,0.239,189,211.74,75,1,1,18.78,0,0,0,0,0
29.5,783,0.216,216,188,75,1,1,20.73,1,0,0,1,0
17.26,458,0.263,121,78.43,50,3,3,34.58,0,0,0,0,0
22.94,609,0.199,121,104.77,50,2,2,34.05,0,0,0,0,0
22.7,602,0.183,110,94.23,50,2,2,35.87,0,0,0,0,0
30.94,821,0.293,241,280.82,100,1,1,20.69,0,0,0,0,0
22,583,0.14,82,67.68,0,2,2,33.88,1,1,0,0,0
29.85,792,0.218,172,194.11,75,1,1,20.08,0,0,0,0,0
17.48,464,0.272,126,83.17,50,3,3,32.15,0,0,0,0,0
29.84,791,0.22,174,195.9,75,1,1,21.42,0,0,0,0,0
22.38,594,0.171,102,85.82,25,2,2,34.96,0,0,0,0,0
17.36,461,0.228,105,68.79,25,3,3,32.96,0,0,0,0,0
22.77,604,0.196,118,101.51,50,2,2,34.92,0,0,0,0,0
29.45,781,0.215,168,186.16,75,1,1,21.57,0,0,0,0,0
22.83,605,0.199,120,103.6,50,2,2,33.88,0,0,0,0,0
29.86,792,0.246,195,219.42,75,1,1,18.46,0,0,0,0,0
29.6,785,0.199,156,174.56,75,1,1,19.41,0,0,0,0,0
30.29,804,0.261,210,239.55,100,1,1,20.37,0,0,0,0,0
22.8,605,0.181,110,94.39,50,2,2,34.01,0,0,0,0,0
17.88,474,0.272,129,87.11,50,3,3,32.35,0,0,0,0,0
22.8,605,0.179,108,92.85,50,2,2,34.53,0,0,0,0,0
29.69,788,0.216,218,190.74,75,1,1,19.59,1,0,0,1,0
17.32,459,0.252,116,75.64,50,3,3,33.84,0,0,0,0,0
30.3,804,0.271,218,248.73,100,1,1,19.29,0,0,0,0,0
22.78,604,0.197,119,101.97,50,2,2,36.31,0,0,0,0,0
22.52,597,0.169,101,85.77,25,2,2,34.73,0,0,0,0,0
22.58,599,0.185,111,94.09,50,2,2,36.38,0,0,0,0,0
22.42,595,0.189,112,94.79,50,2,2,33.28,0,0,0,0,0
30.46,808,0.278,225,257.88,100,1,1,19.55,0,0,0,0,0
17.56,466,0.251,117,77.37,50,3,3,34.28,0,0,0,0,0
16.67,442,0.202,149,56.25,0,3,3,34.06,1,1,1,1,0
22.19,589,0.166,127,81.7,25,2,2,36.12,1,0,1,0,0
30.48,808,0.273,221,253.96,100,1,1,19.97,0,0,0,0,0
17.28,458,0.234,107,69.84,25,3,3,34.83,0,0,0,0,0
17.24,457,0.251,115,74.45,50,3,3,33.37,0,0,0,0,0
17.39,461,0.272,126,82.36,50,3,3,31.33,0,0,0,0,0
17.14,455,0.208,94,61.03,25,3,3,32.51,0,0,0,0,0
22.64,601,0.171,134,87.68,25,2,2,33.5,1,0,1,0,0
22.76,604,0.19,115,98.65,50,2,2,35.33,0,0,0,0,0
23.06,612,0.185,113,98.42,50,2,2,35.32,0,0,0,0,0
22.74,603,0.195,118,100.93,50,2,2,35.13,0,0,0,0,0
22.21,589,0.17,100,83.88,25,2,2,33.35,0,0,0,0,0
18.07,479,0.291,140,95.03,75,3,3,32.59,0,0,0,0,0
22.91,608,0.199,121,104.71,50,2,2,33.75,0,0,0,0,0
29.53,783,0.224,176,195.42,75,1,1,19.13,0,0,0,0,0
29.84,791,0.231,183,205.42,75,1,1,19.7,0,0,0,0,0
17.55,465,0.269,125,82.74,50,3,3,33.34,0,0,0,0,0
16.9,448,0.242,109,69.25,25,3,3,33.8,0,0,0,0,0
17.61,467,0.261,122,80.9,50,3,3,33.66,0,0,0,0,0
30.28,803,0.248,200,227.76,75,1,1,19.19,0,0,0,0,0
17.42,462,0.263,121,79.65,50,3,3,33.39,0,0,0,0,0
22.49,597,0.171,102,86.63,25,2,2,36.36,0,0,0,0,0
29.73,789,0.232,183,204.57,75,1,1,19.68,0,0,0,0,0
17.31,459,0.245,113,73.43,50,3,3,34.41,0,0,0,0,0
23.11,613,0.214,131,114.42,75,2,2,34.53,0,0,0,0,0
17.23,457,0.248,113,73.58,50,3,3,34.4,0,0,0,0,0
22.02,584,0.128,75,61.95,0,2,2,34.59,0,0,0,0,0
22.41,595,0.159,94,79.68,25,2,2,35.2,0,0,0,0,0
29.85,792,0.245,194,218.22,75,1,1,18.86,0,0,0,0,0
30.09,798,0.228,182,206.64,75,1,1,18.85,0,0,0,0,0
17.3,459,0.267,123,79.89,50,3,3,32.15,0,0,0,0,0
22.37,593,0.136,81,68.29,0,2,2,33.37,0,0,0,0,0
21.94,582,0.13,97,62.49,0,2,2,33.61,1,1,0,0,0
17.61,467,0.257,120,79.56,50,3,3,32.95,0,0,0,0,0
30.06,797,0.245,195,221.14,75,1,1,19.64,0,0,0,0,0
22.46,596,0.188,112,95.05,50,2,2,35.76,0,0,0,0,0
22.16,588,0.14,107,69,0,2,2,35.31,0,0,0,0,0
22.51,597,0.185,110,93.66,50,2,2,34.76,0,0,0,0,0
17.74,471,0.249,117,78.25,50,3,3,32.85,0,0,0,0,0
30.16,800,0.243,195,221.23,75,1,1,19.01,0,0,0,0,0
17.31,459,0.225,103,67.51,25,3,3,31.96,0,0,0,0,0
17.28,458,0.236,108,70.33,25,3,3,32.5,0,0,0,0,0
17.17,455,0.255,116,75.14,50,3,3,32.1,0,0,0,0,0
22.95,609,0.205,125,107.98,50,2,1,34.87,1,0,0,0,1
29.62,786,0.209,210,183.36,75,1,1,19.07,1,0,0,1,0
22.69,602,0.163,98,83.96,25,2,2,34.88,0,0,0,0,0
29.96,795,0.233,185,209.01,75,1,1,18.2,0,0,0,0,0
22.71,602,0.173,104,89.08,50,2,2,35.29,0,0,0,0,0
17.34,460,0.229,105,68.89,25,3,3,31.37,0,0,0,0,0
17.42,462,0.25,116,76.01,50,3,2,32.38,1,0,0,0,1
29.47,782,0.212,165,183.76,75,1,1,20.41,0,0,0,0,0
22.63,600,0.172,103,87.91,25,2,2,37.98,0,0,0,0,0
30.23,802,0.249,199,227.36,75,1,1,18.12,0,0,0,0,0
29.42,780,0.207,162,179.47,75,1,1,18.95,0,0,0,0,0
17.11,454,0.228,103,66.61,25,3,1,31.63,1,0,1,0,1
16.94,449,0.235,138,67.57,25,3,3,33.03,1,0,1,0,0
16.99,451,0.227,133,65.6,25,3,3,32.82,1,0,1,0,0
22.51,597,0.181,108,91.65,50,2,2,35.46,0,0,0,0,0
17.1,454,0.24,109,70.15,50,3,3,33.41,0,0,0,0,0
17.67,469,0.264,124,82.51,50,3,3,33.46,0,0,0,0,0
29.86,792,0.241,191,214.49,75,1,1,19,0,0,0,0,0
29.96,795,0.262,208,234.98,100,1,1,19.61,0,0,0,0,0
17.44,463,0.231,107,70.3,25,3,3,32.06,0,0,0,0,0
17.61,467,0.271,126,83.96,50,3,3,31.07,0,0,0,0,0
29.66,787,0.218,219,191.42,75,1,1,18.32,1,0,0,1,0
17.64,468,0.254,119,79.18,50,3,3,33.89,0,0,0,0,0
17.23,457,0.245,112,72.62,50,3,3,33.58,0,0,0,0,0
29.64,786,0.226,227,198.52,75,1,1,21,1,0,0,1,0
29.97,795,0.261,208,234.7,100,1,1,19.19,0,0,0,0,0
17.53,465,0.252,117,77.52,50,3,3,32.43,0,0,0,0,0
17.66,469,0.261,122,81.45,50,3,3,32.24,0,0,0,0,0
17.72,470,0.252,119,79.2,50,3,3,33.99,0,0,0,0,0
22.91,608,0.202,123,105.97,50,2,2,34.32,0,0,0,0,0
22.78,604,0.185,112,96.22,50,2,2,34.78,0,0,0,0,0
17.62,467,0.263,123,81.79,50,3,3,33.2,0,0,0,0,0
22.69,602,0.178,107,91.62,50,2,2,34.63,0,0,0,0,0
30.21,801,0.255,204,232.49,100,1,1,21.17,0,0,0,0,0
22.83,606,0.201,122,104.83,50,2,2,35.91,0,0,0,0,0
22.31,592,0.15,89,74.55,0,2,2,34.73,0,0,0,0,0
22.29,591,0.153,90,75.84,25,2,2,35.57,0,0,0,0,0
22.27,591,0.152,90,75.65,25,2,2,35.9,0,0,0,0,0
17.38,461,0.243,112,73.26,50,3,3,33.14,0,0,0,0,0
22.89,607,0.2,121,104.54,50,2,2,34.05,0,0,0,0,0
30.33,805,0.267,215,245.43,100,1,1,21.02,0,0,0,0,0
17.59,467,0.269,126,83.26,50,3,3,33.93,0,0,0,0,0
22.31,592,0.156,92,77.67,25,2,2,34.32,0,0,0,0,0
29.96,795,0.24,190,215.16,75,1,1,18,0,0,0,0,0
30.24,802,0.254,203,231.96,100,1,1,18.57,0,0,0,0,0
17.08,453,0.238,108,69.49,25,3,3,33.6,0,0,0,0,0
22.68,602,0.212,127,108.95,75,2,2,36.14,0,0,0,0,0
23.02,611,0.21,128,111.11,75,2,2,34.14,0,0,0,0,0
17.72,470,0.267,126,83.89,50,3,3,32.94,0,0,0,0,0
16.87,448,0.235,105,66.96,25,3,3,32.47,0,0,0,0,0
22.64,601,0.2,120,102.39,50,2,2,34.65,0,0,0,0,0
17.7,470,0.278,131,87.16,75,3,3,31.59,0,0,0,0,0
29.89,793,0.247,196,220.59,75,1,1,19.67,0,0,0,0,0
22.48,596,0.176,105,89.17,50,2,2,34.41,0,0,0,0,0
22.58,599,0.183,109,93.06,50,2,2,34.9,0,0,0,0,0
23.3,618,0.217,134,118.11,75,2,2,35.91,0,0,0,0,0
22.48,596,0.188,112,94.93,50,2,2,35.1,0,0,0,0,0
17.2,456,0.24,110,71.1,50,3,3,33.36,0,0,0,0,0
17.03,452,0.235,106,68.15,25,3,3,34.49,0,0,0,0,0
22.75,604,0.195,118,100.9,50,2,2,34.01,0,0,0,0,0
22.6,599,0.187,112,95.35,50,2,2,34.01,0,0,0,0,0
29.84,792,0.216,171,192.13,75,1,1,20.65,0,0,0,0,0
22.43,595,0.18,107,90.37,50,2,2,33.41,0,0,0,0,0
30.44,807,0.278,225,257.83,100,1,1,21.05,0,0,0,0,0
29.82,791,0.238,188,211.29,75,1,1,19.01,0,0,0,0,0
17.07,453,0.24,109,70.11,50,3,3,32.24,0,0,0,0,0
17.52,465,0.242,113,74.32,50,3,3,32.89,0,0,0,0,0
22.51,597,0.193,115,97.72,50,2,2,34.39,0,0,0,0,0
16.8,446,0.211,94,59.65,0,3,3,32.69,0,0,0,0,0
29.52,783,0.205,161,178.78,75,1,1,17.51,0,0,0,0,0
16.9,448,0.229,102,65.3,25,3,3,32.98,0,0,0,0,0
17.12,454,0.237,108,69.6,25,3,3,33.8,0,0,0,0,0
22.79,604,0.187,113,97.09,50,2,2,36.19,0,0,0,0,0
17.59,467,0.26,121,80.47,50,3,3,33.33,0,0,0,0,0
17.31,459,0.251,115,75.23,50,3,3,31.4,0,0,0,0,0
30.28,803,0.256,205,234.36,100,1,1,19.11,0,0,0,0,0
17.89,475,0.266,126,85.08,50,3,3,31.05,0,0,0,0,0
16.76,445,0.219,97,61.56,25,3,3,34.15,0,0,0,0,0
29.29,777,0.172,134,147.84,75,1,1,19.48,0,0,0,0,0
22.55,598,0.179,107,90.81,50,2,2,35.87,0,0,0,0,0
29.86,792,0.232,184,206.94,75,1,1,19.42,0,0,0,0,0
30.13,799,0.245,196,222.63,75,1,1,20.33,0,0,0,0,0
30.03,796,0.24,191,216.68,75,1,1,18.71,0,0,0,0,0
22.45,596,0.191,114,96.45,50,2,2,34.18,0,0,0,0,0
23.16,614,0.213,131,114.48,75,2,2,35.46,0,0,0,0,0
17.64,468,0.279,131,86.85,75,3,3,31.79,0,0,0,0,0
29.51,783,0.19,190,165.35,75,1,1,19.5,0,0,0,0,0
22.96,609,0.2,122,105.53,50,2,2,34.8,0,0,0,0,0
29.56,784,0.227,227,197.97,75,1,1,20.7,1,0,0,1,0
22.82,605,0.213,129,110.97,75,2,2,34.97,0,0,0,0,0
17.33,460,0.246,113,73.94,50,3,3,31.28,0,0,0,0,0
17.06,452,0.204,93,59.49,0,3,3,32.16,0,0,0,0,0
29.78,790,0.244,193,216.13,75,1,1,19.43,0,0,0,0,0
29.67,787,0.228,179,200.26,75,1,1,20.56,0,0,0,0,0
29.55,784,0.234,184,204.54,75,1,1,19.68,0,0,0,0,0
30.37,806,0.255,205,235.04,100,1,1,20.71,0,0,0,0,0
17.08,453,0.245,111,71.52,50,3,3,32.62,0,0,0,0,0
30.31,804,0.271,218,248.81,100,1,1,18.77,0,0,0,0,0
22.61,600,0.184,110,93.99,50,2,2,35.11,0,0,0,0,0
22.74,603,0.183,110,94.66,50,2,2,33.96,0,0,0,0,0
30.58,811,0.265,215,247.99,100,1,1,19.3,0,0,0,0,0
17.18,456,0.24,109,70.83,50,3,3,34.56,0,0,0,0,0
17.42,462,0.241,112,73.29,50,3,3,34.3,0,0,0,0,0
29.61,785,0.214,168,187.22,75,1,1,21.68,0,0,0,0,0
17.29,459,0.246,113,73.41,50,3,3,33.14,0,0,0,0,0
17.01,451,0.223,100,64.38,25,3,3,30.83,0,0,0,0,0
29.85,792,0.223,177,198.93,75,1,1,19.3,0,0,0,0,0
30.29,803,0.265,213,243.35,100,1,1,18.37,0,0,0,0,0
17.3,459,0.264,121,78.88,50,3,3,33.01,0,0,0,0,0
22.95,609,0.198,120,104.16,50,2,2,35.15,0,0,0,0,0
22.91,608,0.195,118,102.17,50,2,2,32.64,0,0,0,0,0
29.85,792,0.226,179,201.03,75,1,1,19.91,0,0,0,0,0
23,610,0.219,134,116.05,75,2,2,34.62,0,0,0,0,0
17.72,470,0.268,126,84.28,50,3,3,31.73,0,0,0,0,0
23,610,0.201,123,106.55,50,2,2,33.6,0,0,0,0,0
30.05,797,0.246,196,222.33,75,1,1,19.76,0,0,0,0,0
29.86,792,0.239,189,212.91,75,1,1,19.6,0,0,0,0,0
17.48,464,0.245,114,74.87,50,3,3,35.17,0,0,0,0,0
17.45,463,0.284,131,86.36,75,3,3,32.55,0,0,0,0,0
22.75,603,0.204,123,105.82,50,2,2,34.43,0,0,0,0,0
30.08,798,0.244,194,220.33,75,1,1,20.11,0,0,0,0,0
22.54,598,0.161,96,81.7,25,2,2,32.4,0,0,0,0,0
22.37,593,0.176,105,88.19,50,2,2,35.95,0,0,0,0,0
17.57,466,0.26,121,80.14,50,3,3,32.52,0,0,0,0,0
23.43,622,0.246,153,134.87,75,2,2,33.3,0,0,0,0,0
29.98,795,0.241,192,216.64,75,1,1,19.18,0,0,0,0,0
30.19,801,0.248,199,226.31,75,1,1,20.26,0,0,0,0,0
30.32,804,0.264,212,242.42,100,1,1,19.9,0,0,0,0,0
22.75,603,0.175,106,90.61,50,2,2,33.77,0,0,0,0,0
17.45,463,0.258,120,78.6,50,3,3,33.92,0,0,0,0,0
16.99,451,0.216,97,62.32,25,3,3,33.36,0,0,0,0,0
29.66,787,0.232,183,204.46,75,1,1,19.81,0,0,0,0,0
17.61,467,0.244,114,75.77,50,3,3,33.26,0,0,0,0,0
30.03,796,0.227,181,204.76,75,1,1,21.41,0,0,0,0,0
17.41,462,0.257,119,77.79,50,3,3,33.73,0,0,0,0,0
16.81,446,0.234,104,66.08,25,3,3,31.57,0,0,0,0,0
29.97,795,0.229,182,205.26,75,1,1,20.25,0,0,0,0,0
23.33,619,0.242,150,131.61,75,2,2,34.05,0,0,0,0,0
22.72,603,0.184,111,95.06,50,2,2,35.41,0,0,0,0,0
22.9,607,0.206,125,108.21,75,2,2,34.72,0,0,0,0,0
16.67,442,0.201,89,56.01,0,3,3,33.04,1,1,0,0,0
29.56,784,0.213,167,186.25,75,1,1,20,0,0,0,0,0
30.32,804,0.245,197,225.12,75,1,1,18.04,0,0,0,0,0
22.47,596,0.18,107,90.88,50,2,2,36.57,0,0,0,0,0
16.5,438,0.218,122,59.42,25,3,3,32.15,1,1,0,0,0
16.77,445,0.216,96,60.68,25,3,3,32.42,0,0,0,0,0
17.33,460,0.25,115,74.94,50,3,3,32.92,0,0,0,0,0
17.61,467,0.246,115,76.32,50,3,3,31.01,0,0,0,0,0
17.77,471,0.272,128,85.9,50,3,3,32.9,0,0,0,0,0
22.65,601,0.17,133,87.13,25,2,2,34.4,1,0,1,0,0
17.39,461,0.255,118,77.08,50,3,3,32.37,0,0,0,0,0
22.63,600,0.187,112,95.8,50,2,2,34.82,0,0,0,0,0
29.62,786,0.198,199,173.43,75,1,1,20.22,0,0,0,0,0
22.57,599,0.166,99,84.63,25,2,2,34.53,0,0,0,0,0
22.57,599,0.182,109,92.76,50,2,2,34.04,0,0,0,0,0
16.97,450,0.208,94,59.9,0,3,3,32.35,0,0,0,0,0
22.31,592,0.154,91,76.78,25,2,2,36.01,0,0,0,0,0
17.33,460,0.245,113,73.63,50,3,3,34.13,0,0,0,0,0
17.71,470,0.267,126,83.8,50,3,3,32.3,0,0,0,0,0
30.21,801,0.252,202,230.31,75,1,1,20.55,0,0,0,0,0
29.6,785,0.229,180,200.59,75,1,1,20.63,0,0,0,0,0
22.38,594,0.15,89,75.22,25,2,2,35.17,0,0,0,0,0
30.13,799,0.258,206,233.83,100,1,1,19.11,0,0,0,0,0
22.74,603,0.179,108,92.72,50,2,2,35.29,0,0,0,0,0
17.41,462,0.244,112,73.81,50,3,3,34.93,0,0,0,0,0
17.43,462,0.249,115,75.64,50,3,3,35.71,0,0,0,0,0
30.2,801,0.252,202,230.01,75,1,1,19.1,0,0,0,0,0
17.26,458,0.246,113,73.3,50,3,3,33.23,0,0,0,0,0
29.6,785,0.219,220,191.99,75,1,1,19.61,1,0,0,1,0
22.25,590,0.155,91,76.47,25,2,2,35.35,0,0,0,0,0
30.31,804,0.264,212,242.25,100,1,1,17.84,0,0,0,0,0
17.27,458,0.249,114,74.2,50,3,3,32.84,0,0,0,0,0
17.49,464,0.252,117,77.15,50,3,3,32.62,0,0,0,0,0
29.61,785,0.242,243,212.03,75,1,1,20.37,1,0,0,1,0
17.42,462,0.271,125,82.2,50,3,3,32.13,0,0,0,0,0
22.59,599,0.193,116,98.39,50,2,2,34.95,0,0,0,0,0
22.78,604,0.19,115,98.49,50,2,2,35.98,0,0,0,0,0
29.51,783,0.208,209,181.27,75,1,1,20.25,1,0,0,1,0
22.49,597,0.185,110,93.62,50,2,2,32.48,0,0,0,0,0
22.87,607,0.198,120,103.72,50,2,2,35.45,0,0,0,0,0
17.38,461,0.256,118,77.43,50,3,3,32.93,0,0,0,0,0
29.83,791,0.245,194,218.23,75,1,1,20.64,0,0,0,0,0
29.77,790,0.215,170,190.26,75,1,1,18.25,0,0,0,0,0
22.56,598,0.161,97,82.13,25,2,2,35.6,0,0,0,0,0
17.49,464,0.271,126,82.94,50,3,3,34.48,0,0,0,0,0
16.98,450,0.21,123,60.54,25,3,3,32.44,0,0,0,0,0
29.92,794,0.238,189,213,75,1,1,20.14,0,0,0,0,0
22.95,609,0.203,124,106.89,50,2,2,32.67,0,0,0,0,0
30.12,799,0.242,193,219.09,75,1,1,18.88,0,0,0,0,0
17.4,461,0.263,122,79.72,50,3,3,33.89,0,0,0,0,0
17.61,467,0.261,122,80.85,50,3,3,33.31,0,0,0,0,0
22.5,597,0.201,120,101.91,50,2,2,35.7,0,0,0,0,0
17.51,465,0.251,117,77.14,50,3,3,32.98,0,0,0,0,0
17.27,458,0.247,113,73.57,50,3,3,34.34,0,0,0,0,0
23.01,610,0.2,122,105.7,50,2,2,33.53,0,0,0,0,0
17.45,463,0.273,127,83.26,50,3,3,34.5,0,0,0,0,0
22.92,608,0.193,117,101.29,50,2,1,34.27,1,0,0,0,1
17.12,454,0.25,114,73.36,50,3,3,33.54,0,0,0,0,0
17.39,461,0.25,115,75.72,50,3,3,32.06,0,0,0,0,0
22.19,589,0.128,75,62.89,0,2,2,34.68,0,0,0,0,0
22.34,592,0.181,107,90.3,50,2,2,34.88,0,0,0,0,0
17.25,458,0.234,107,69.74,25,3,3,33.67,0,0,0,0,0
22.49,597,0.182,109,92.02,50,2,2,36.5,0,0,0,0,0
29.76,789,0.204,161,180.34,75,1,1,18.94,0,0,0,0,0
